,id,name,NN ը/կ,Ա.1. Հայտարարատու պաշտոնատար անձի տվյալները,2
0,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,1.,"Անունը, ազգանունը, հայրանունը",ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ
1,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,2.,"Ծննդյան օր, ամիս, տարի",17/11/1984
2,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,3.,Հանրային ծառայությունների համարանիշ,Պաշտպանված
3,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,4.,Հաշվառման հասցե,Պաշտպանված
4,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,5.,Փաստացի բնակության հասցե (եթե տարբերվում է հաշվառման հասցեից),Պաշտպանված
5,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,6.,"Մարմնի անվանումը, որտեղ պաշտոն է զբաղեցնում",Դատախազություն
6,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,7.,Զբաղեցրած պաշտոնը,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
7,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,8.,"Պաշտոնն ստանձնելու օրը, ամիսը, տարին",03/09/2020
8,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,9.,"Էլեկտրոնային փոստի հասցե, հեռախոսահամարներ","Պաշտպանված, Պաշտպանված"
9,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,10.,"Հայտարարագրի ներկայացման օրը, ամիսը, տարին",31/05/2023
10,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,1.,"Անունը, ազգանունը, հայրանունը",ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ
11,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,2.,"Ծննդյան օր, ամիս, տարի",29/06/1997
12,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,3.,Հանրային ծառայությունների համարանիշ,Պաշտպանված
13,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,4.,Հաշվառման հասցե,Պաշտպանված
14,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,5.,Փաստացի բնակության հասցե (եթե տարբերվում է հաշվառման հասցեից),Պաշտպանված
15,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,6.,"Մարմնի անվանումը, որտեղ պաշտոն է զբաղեցնում",Դատախազություն
16,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,7.,Զբաղեցրած պաշտոնը,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
17,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,8.,"Պաշտոնն ստանձնելու օրը, ամիսը, տարին",07/12/2020
18,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,9.,"Էլեկտրոնային փոստի հասցե, հեռախոսահամարներ","Պաշտպանված, Պաշտպանված"
19,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,10.,"Հայտարարագրի ներկայացման օրը, ամիսը, տարին",31/05/2023
20,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,1.,"Անունը, ազգանունը, հայրանունը",ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ
21,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,2.,"Ծննդյան օր, ամիս, տարի",28/01/1993
22,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,3.,Հանրային ծառայությունների համարանիշ,Պաշտպանված
23,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,4.,Հաշվառման հասցե,Պաշտպանված
24,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,5.,Փաստացի բնակության հասցե (եթե տարբերվում է հաշվառման հասցեից),Պաշտպանված
25,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,6.,"Մարմնի անվանումը, որտեղ պաշտոն է զբաղեցնում",Դատախազություն
26,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,7.,Զբաղեցրած պաշտոնը,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության պետ
27,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,8.,"Պաշտոնն ստանձնելու օրը, ամիսը, տարին",03/09/2020
28,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,9.,"Էլեկտրոնային փոստի հասցե, հեռախոսահամարներ","Պաշտպանված, Պաշտպանված"
29,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,10.,"Հայտարարագրի ներկայացման օրը, ամիսը, տարին",29/05/2023
30,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,1.,"Անունը, ազգանունը, հայրանունը",ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ
31,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,2.,"Ծննդյան օր, ամիս, տարի",25/12/1997
32,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,3.,Հանրային ծառայությունների համարանիշ,Պաշտպանված
33,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,4.,Հաշվառման հասցե,Պաշտպանված
34,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,5.,Փաստացի բնակության հասցե (եթե տարբերվում է հաշվառման հասցեից),Պաշտպանված
35,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,6.,"Մարմնի անվանումը, որտեղ պաշտոն է զբաղեցնում",Դատախազություն
36,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,7.,Զբաղեցրած պաշտոնը,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
37,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,8.,"Պաշտոնն ստանձնելու օրը, ամիսը, տարին",11/07/2022
38,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,9.,"Էլեկտրոնային փոստի հասցե, հեռախոսահամարներ","Պաշտպանված, Պաշտպանված"
39,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,10.,"Հայտարարագրի ներկայացման օրը, ամիսը, տարին",29/05/2023
40,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,1.,"Անունը, ազգանունը, հայրանունը",ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ
41,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,2.,"Ծննդյան օր, ամիս, տարի",05/05/1992
42,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,3.,Հանրային ծառայությունների համարանիշ,Պաշտպանված
43,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,4.,Հաշվառման հասցե,Պաշտպանված
44,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,5.,Փաստացի բնակության հասցե (եթե տարբերվում է հաշվառման հասցեից),Պաշտպանված
45,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,6.,"Մարմնի անվանումը, որտեղ պաշտոն է զբաղեցնում",Դատախազություն
46,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,7.,Զբաղեցրած պաշտոնը,Գլխավոր դատախազի՝ ապօրինի ծագում ունեցող գույքի բռնագանձմանն ուղղված գործառույթների ոլորտը համակարգող տեղակալ
47,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,8.,"Պաշտոնն ստանձնելու օրը, ամիսը, տարին",31/08/2020
48,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,9.,"Էլեկտրոնային փոստի հասցե, հեռախոսահամարներ","Պաշտպանված, Պաշտպանված"
49,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,10.,"Հայտարարագրի ներկայացման օրը, ամիսը, տարին",29/05/2023
50,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103614,ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,1.,"Անունը, ազգանունը, հայրանունը",ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ
51,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103614,ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,2.,"Ծննդյան օր, ամիս, տարի",07/01/1995
52,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103614,ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,3.,Հանրային ծառայությունների համարանիշ,Պաշտպանված
53,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103614,ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,4.,Հաշվառման հասցե,Պաշտպանված
