,id,name,NN ը/կ,Կապը հայտարարատու  պաշտոնատար անձի հետ,"Անունը, ազգանունը, հայրանունը","Ծննդյան օրը, ամիսը, տարին"
0,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,1.,Պաշտպանված,Պաշտպանված,Պաշտպանված
1,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,2.,Պաշտպանված,Պաշտպանված,Պաշտպանված
2,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,3.,Պաշտպանված,Պաշտպանված,Պաշտպանված
3,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,4.,Պաշտպանված,Պաշտպանված,Պաշտպանված
4,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,5.,Պաշտպանված,Պաշտպանված,Պաշտպանված
5,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,6.,Պաշտպանված,Պաշտպանված,Պաշտպանված
6,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,1.,Պաշտպանված,Պաշտպանված,Պաշտպանված
7,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,2.,Պաշտպանված,Պաշտպանված,Պաշտպանված
8,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,3.,Պաշտպանված,Պաշտպանված,Պաշտպանված
9,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,4.,Պաշտպանված,Պաշտպանված,Պաշտպանված
10,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,5.,Պաշտպանված,Պաշտպանված,Պաշտպանված
11,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,6.,Պաշտպանված,Պաշտպանված,Պաշտպանված
12,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,1.,Պաշտպանված,Պաշտպանված,Պաշտպանված
13,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,2.,Պաշտպանված,Պաշտպանված,Պաշտպանված
14,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,3.,Պաշտպանված,Պաշտպանված,Պաշտպանված
15,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,4.,Պաշտպանված,Պաշտպանված,Պաշտպանված
16,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,5.,Պաշտպանված,Պաշտպանված,Պաշտպանված
17,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,6.,Պաշտպանված,Պաշտպանված,Պաշտպանված
18,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,7.,Պաշտպանված,Պաշտպանված,Պաշտպանված
19,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,Տվյալներ չկան,,,
20,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,1.,Պաշտպանված,Պաշտպանված,Պաշտպանված
21,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,2.,Պաշտպանված,Պաշտպանված,Պաշտպանված
22,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,3.,Պաշտպանված,Պաշտպանված,Պաշտպանված
23,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103614,ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,Տվյալներ չկան,,,
24,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104049,ՆԱԻՐԱ ԱՐՏԱՇԵՍՅԱՆ ՄԿՐՏԻՉԻ,Տվյալներ չկան,,,
25,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103759,ՄԻՀՐԱՆ ԲՈՒԼՂԱԴԱՐՅԱՆ ԱՐԹՈՒՐԻ,1.,Պաշտպանված,Պաշտպանված,Պաշտպանված
26,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103950,ՆԵԼԼԻ ՏԵՐ-ԹՈՐՈՍՅԱՆ ՏԻԳՐԱՆԻ,Տվյալներ չկան,,,
27,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,1.,Պաշտպանված,Պաշտպանված,Պաշտպանված
28,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,2.,Պաշտպանված,Պաշտպանված,Պաշտպանված
29,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,3.,Պաշտպանված,Պաշտպանված,Պաշտպանված
30,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,4.,Պաշտպանված,Պաշտպանված,Պաշտպանված
31,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,5.,Պաշտպանված,Պաշտպանված,Պաշտպանված
32,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,6.,Պաշտպանված,Պաշտպանված,Պաշտպանված
33,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,7.,Պաշտպանված,Պաշտպանված,Պաշտպանված
34,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,8.,Պաշտպանված,Պաշտպանված,Պաշտպանված
35,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,9.,Պաշտպանված,Պաշտպանված,Պաշտպանված
36,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,10.,Պաշտպանված,Պաշտպանված,Պաշտպանված
37,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,11.,Պաշտպանված,Պաշտպանված,Պաշտպանված
38,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,12.,Պաշտպանված,Պաշտպանված,Պաշտպանված
39,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,13.,Պաշտպանված,Պաշտպանված,Պաշտպանված
40,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,14.,Պաշտպանված,Պաշտպանված,Պաշտպանված
41,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101925,ԽԱՉԻԿ ՂԱԶԱՐՅԱՆ ԿԱՐԱՊԵՏԻ,1.,Պաշտպանված,Պաշտպանված,Պաշտպանված
42,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101925,ԽԱՉԻԿ ՂԱԶԱՐՅԱՆ ԿԱՐԱՊԵՏԻ,2.,Պաշտպանված,Պաշտպանված,Պաշտպանված
