,id,name,NN ը/կ,"Սեփականատիրոջ անունը, ազգանունը, հայրանունը",Բանկի անվանումը (ՀՀ տարածքից դուրս գտնվող բանկի դեպքում),Բանկի գտնվելու վայրը (ՀՀ տարածքից դուրս գտնվող բանկի դեպքում),Տվյալ տարվա սկզբում առկա դրամական միջոցի գումարը և արժույթը,Տվյալ տարվա սկզբում առկա դրամական միջոցի ծագման աղբյուրը,Տվյալ տարվա վերջում առկա դրամական միջոցի գումարը և արժույթը
0,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,1.,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,Պաշտպանված,Պաշտպանված,"֏ 727,480",Պաշտպանված,"֏ 57,488"
1,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,2.,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,Պաշտպանված,Պաշտպանված,$ 43.36,Պաշտպանված,$ 2.75
2,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,1.,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,Պաշտպանված,Պաշտպանված,"֏ 128,993.16",Պաշտպանված,"֏ 995,005.98"
3,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,1.,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,Պաշտպանված,Պաշտպանված,"֏ 151,447",Պաշտպանված,"֏ 457,565"
4,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,1.,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,Պաշտպանված,Պաշտպանված,֏ 0,Պաշտպանված,"֏ 418,295"
5,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,2.,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,Պաշտպանված,Պաշտպանված,"֏ 223,922.5",Պաշտպանված,"֏ 185,958"
6,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,3.,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,Պաշտպանված,Պաշտպանված,"֏ 499,022.55",Պաշտպանված,֏ 0
7,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,1.,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,Պաշտպանված,Պաշտպանված,"֏ 2,000,000",Պաշտպանված,"֏ 3,468,783.2"
8,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,2.,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,Պաշտպանված,Պաշտպանված,֏ 0,Պաշտպանված,"֏ 20,514,782"
9,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,3.,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,Պաշտպանված,Պաշտպանված,"֏ 486,755.9",Պաշտպանված,"֏ 80,877"
10,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,4.,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,Պաշտպանված,Պաշտպանված,"֏ 167,769",Պաշտպանված,"֏ 57,228"
11,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103614,ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,1.,ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,Պաշտպանված,Պաշտպանված,"֏ 829,334",Պաշտպանված,"֏ 5,940"
12,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103614,ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,2.,ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,Պաշտպանված,Պաշտպանված,֏ 0,Պաշտպանված,"֏ 1,944,683"
13,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104049,ՆԱԻՐԱ ԱՐՏԱՇԵՍՅԱՆ ՄԿՐՏԻՉԻ,1.,ՆԱԻՐԱ ԱՐՏԱՇԵՍՅԱՆ ՄԿՐՏԻՉԻ,Պաշտպանված,Պաշտպանված,֏ 409,Պաշտպանված,"֏ 843,491"
14,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103759,ՄԻՀՐԱՆ ԲՈՒԼՂԱԴԱՐՅԱՆ ԱՐԹՈՒՐԻ,1.,ՄԻՀՐԱՆ ԲՈՒԼՂԱԴԱՐՅԱՆ ԱՐԹՈՒՐԻ,Պաշտպանված,Պաշտպանված,֏ 0,Պաշտպանված,"֏ 12,696"
15,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103759,ՄԻՀՐԱՆ ԲՈՒԼՂԱԴԱՐՅԱՆ ԱՐԹՈՒՐԻ,2.,ՄԻՀՐԱՆ ԲՈՒԼՂԱԴԱՐՅԱՆ ԱՐԹՈՒՐԻ,Պաշտպանված,Պաշտպանված,֏ 0,Պաշտպանված,"֏ 321,000"
16,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103759,ՄԻՀՐԱՆ ԲՈՒԼՂԱԴԱՐՅԱՆ ԱՐԹՈՒՐԻ,3.,ՄԻՀՐԱՆ ԲՈՒԼՂԱԴԱՐՅԱՆ ԱՐԹՈՒՐԻ,Պաշտպանված,Պաշտպանված,"֏ 513,198.73",Պաշտպանված,"֏ 384,122.21"
17,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103950,ՆԵԼԼԻ ՏԵՐ-ԹՈՐՈՍՅԱՆ ՏԻԳՐԱՆԻ,1.,ՆԵԼԼԻ ՏԵՐ-ԹՈՐՈՍՅԱՆ ՏԻԳՐԱՆԻ,Պաշտպանված,Պաշտպանված,"֏ 4,017,726",Պաշտպանված,"֏ 2,564,403"
18,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,1.,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,Պաշտպանված,Պաշտպանված,"֏ 203,794",Պաշտպանված,"֏ 530,947"
