,id,name,NN ը/կ,"Հայտարարատու սեփականատիրոջ անունը, ազգանունը, հայրանունը",Անշարժ գույքի տեսակը,Սեփականության իրավունքի տեսակը,Հայտարարատուի բաժինը,Համասեփականատիրոջ բաժինը,"Համասեփականատիրոջ անվանումը կամ անունը, ազգանունը, հայրանունը",Հայտարարատուի և համասեփականատիրոջ միջև կապի բնույթը,Գտնվելու վայրի հասցեն,Անշարժ գույքի հաշվառման համարը,"Անշարժ գույքը ձեռք բերելու օրը, ամիսը,տարին",Անշարժ գույքի ձեռքբերման եղանակը,Ձեռք բերված անշարժ գույքի գինը և արժույթը,Անշարժ գույքի մակերեսը (քմ),"Գործարքի մյուս կողմի անվանումը կամ անունը, ազգանունը, հայրանունը, հասցեն"
0,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
1,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,Տվյալներ չկան,,,,,,,,,,,,,,
2,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,1.,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,"Հայաստանի Հանրապետության օրենսդրության համաձայն նոր կառուցված, ձեռք բերված և անշարժ գույքի կադաստր վարող լիազոր մարմնի կողմից հաշվառված ու գնահատված այն շինությունները, որոնք դեռևս չեն ստացել իրավունքների պետական գրանցում, ինչպես նաև սեփականության կամ հողօգտագործման իրավունք ունեցող անձանց կողմից այդ հողամաuի վրա ինքնակամ կառուցված շենքերը և շինությունները, այդ թվում՝ բազմաբնակարան շենքերում կամ շենքերին կից ինքնակամ կառույցները",Բաժնային,1/3,Պաշտպանված,Պաշտպանված,Պաշտպանված,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ Դավիթաշեն Պաշտպանված,Պաշտպանված,06/04/2021,Գնում,"֏ 5,564,000",Պաշտպանված,Բiդեք ՍՊԸ Պաշտպանված
3,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,Տվյալներ չկան,,,,,,,,,,,,,,
4,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,1.,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,"Բնակարանը` բազմաբնակարան բնակելի շենքում ֆիզիկական անձանց բնակության համար նախատեսված, իրավունքների պետական գրանցումն իրականացնող լիազոր մարմնում առանձին ծածկագրով գրանցված և համարակալված տարածքը",Համատեղ,,Պաշտպանված,Պաշտպանված,Պաշտպանված,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ Քանաքեռ-Զեյթուն Պաշտպանված,Պաշտպանված,20/09/2022,Գնում,"֏ 39,160,520",Պաշտպանված,«ԱԴԴՐԵՍՍ» ՍՊԸ Պաշտպանված
5,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103614,ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
6,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104049,ՆԱԻՐԱ ԱՐՏԱՇԵՍՅԱՆ ՄԿՐՏԻՉԻ,Տվյալներ չկան,,,,,,,,,,,,,,
7,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103759,ՄԻՀՐԱՆ ԲՈՒԼՂԱԴԱՐՅԱՆ ԱՐԹՈՒՐԻ,1.,ՄԻՀՐԱՆ ԲՈՒԼՂԱԴԱՐՅԱՆ ԱՐԹՈՒՐԻ,"Անհատական բնակելի տունը` հողամասի վրա կառուցված, իր տնտեսական շինություններով",Համատեղ,,Պաշտպանված,Պաշտպանված,Պաշտպանված,Հայաստանի Հանրապետություն ԿՈՏԱՅՔ Ջրվեժ Պաշտպանված,Պաշտպանված,06/10/2022,Գնում,"֏ 27,300,000",Պաշտպանված,Մարինա Սուրենի Հեքիմբաշյան Պաշտպանված
8,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103950,ՆԵԼԼԻ ՏԵՐ-ԹՈՐՈՍՅԱՆ ՏԻԳՐԱՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
9,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
