,id,name,NN ը/կ,"Հայտարարատու սեփականատիրոջ անունը, ազգանունը, հայրանունը",Տրանսպորտի միջոցի տեսակը,"Մակնիշը, սերիան",Թողարկման տարին,Նույնականացման համարը,"Տրանսպորտի միջոցը ձեռք բերելու օրը, ամիսը, տարին",Տրանսպորտի միջոցը ձեռք բերելու եղանակը,Տրանսպորտի միջոցի ձեռքբերման գինը(արժեքը) և արժույթը,"Գործարքի մյուս կողմի անվանումը կամ անունը, ազգանունը, հայրանունը, հասցեն"
0,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,Տվյալներ չկան,,,,,,,,,
1,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,1.,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MAZDA Պաշտպանված,2018,Պաշտպանված,06/05/2022,Գնում,"֏ 7,209,565",«Ա ԵՎ Ս ՄՈՏՈՐՍ» ՍՊԸ Պաշտպանված
2,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,Տվյալներ չկան,,,,,,,,,
3,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,Տվյալներ չկան,,,,,,,,,
4,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,Տվյալներ չկան,,,,,,,,,
5,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103614,ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,Տվյալներ չկան,,,,,,,,,
6,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104049,ՆԱԻՐԱ ԱՐՏԱՇԵՍՅԱՆ ՄԿՐՏԻՉԻ,Տվյալներ չկան,,,,,,,,,
7,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103759,ՄԻՀՐԱՆ ԲՈՒԼՂԱԴԱՐՅԱՆ ԱՐԹՈՒՐԻ,Տվյալներ չկան,,,,,,,,,
8,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103950,ՆԵԼԼԻ ՏԵՐ-ԹՈՐՈՍՅԱՆ ՏԻԳՐԱՆԻ,Տվյալներ չկան,,,,,,,,,
9,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,Տվյալներ չկան,,,,,,,,,
