,name,data-id,link,declaration-type,institution,position
0,ԱՐԹՈՒՐ ԲՈՒԼՂԱԴԱՐՅԱՆ ՖԻԼԻՊԻ,1_2_2_135912,https://registry.cpcarmenia.am/declaration/?id=1_2_2_135912,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
1,ԱՆԱՀԻՏ ՇԱՀՆԱԶԱՐՅԱՆ ՀՐԱՉԻԿԻ,1_2_2_135913,https://registry.cpcarmenia.am/declaration/?id=1_2_2_135913,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
2,ՄՈՎՍԵՍ ԲՈՒԼՂԱԴԱՐՅԱՆ ԱՐԹՈՒՐԻ,1_2_2_135914,https://registry.cpcarmenia.am/declaration/?id=1_2_2_135914,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
3,ԳԵՎՈՐԳ ՔՈՉԱՐՅԱՆ ԱՐՄԵՆԻ,1_1_1_103749,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103749,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ, ԾԱԽՍԵՐԻ ԵՎ ՇԱՀԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
4,ԳՈՀԱՐ ԱԼԼԱՀՎԵՐԴՅԱՆ ՌՈՄԱՅԻ,1_2_2_104145,https://registry.cpcarmenia.am/declaration/?id=1_2_2_104145,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
5,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,1_1_1_103912,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103912,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ, ԾԱԽՍԵՐԻ ԵՎ ՇԱՀԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
6,ՍԻՐՈ ԱՄԻՐԽԱՆՅԱՆ ՀՐԱՉԻ,1_1_1_103884,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103884,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ, ԾԱԽՍԵՐԻ ԵՎ ՇԱՀԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության պետ
7,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,1_1_1_104148,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104148,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ, ԾԱԽՍԵՐԻ ԵՎ ՇԱՀԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
8,ՍՐԲՈՒՀԻ ԳԱԼՅԱՆ ՀՈՎՀԱՆՆԵՍԻ,1_1_1_103969,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103969,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ, ԾԱԽՍԵՐԻ ԵՎ ՇԱՀԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազի՝ ապօրինի ծագում ունեցող գույքի բռնագանձմանն ուղղված գործառույթների ոլորտը համակարգող տեղակալ
9,ՀԱՐՈՒԹՅՈՒՆ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,1_2_2_136052,https://registry.cpcarmenia.am/declaration/?id=1_2_2_136052,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
10,ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,1_1_1_103614,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103614,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ, ԾԱԽՍԵՐԻ ԵՎ ՇԱՀԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
11,ԷԼԵՆ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,1_2_2_136054,https://registry.cpcarmenia.am/declaration/?id=1_2_2_136054,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
