,id,0,1,2,3,4,5,6,7,8
0,ՀԿ_41,,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,Պաշտպանված,1.00,ՀՀ դրամ,Պաշտպանված,1.00,ՀՀ դրամ,Պաշտպանված
1,ՀԿ_40,Տվյալներ չկան,,,,,,,,
2,ՀԿ_39,Տվյալներ չկան,,,,,,,,
3,ՀԿ_38,Տվյալներ չկան,,,,,,,,
4,ՀԿ_37,Տվյալներ չկան,,,,,,,,
5,ՀԿ_36,,ՎԱՀԵ ՄԱՐՏԻՐՈՍՅԱՆ ՌԱՖԻԿԻ,Պաշտպանված,0.00,ՀՀ դրամ,Պաշտպանված,0.00,ՀՀ դրամ,Պաշտպանված
6,ՀԿ_36,,ՎԱՀԵ ՄԱՐՏԻՐՈՍՅԱՆ ՌԱՖԻԿԻ,Պաշտպանված,0.00,ՀՀ դրամ,Պաշտպանված,0.00,ՀՀ դրամ,Պաշտպանված
7,ՀԿ_35,Տվյալներ չկան,,,,,,,,
8,ՀԿ_34,Տվյալներ չկան,,,,,,,,
9,ՀԿ_32,Տվյալներ չկան,,,,,,,,
10,ՀԿ_31,Տվյալներ չկան,,,,,,,,
11,ՀԿ_30,Տվյալներ չկան,,,,,,,,
12,ՀԿ_29,Տվյալներ չկան,,,,,,,,
13,ՀԿ_28,Տվյալներ չկան,,,,,,,,
14,ՀԿ_27,Տվյալներ չկան,,,,,,,,
15,ՀԿ_26,Տվյալներ չկան,,,,,,,,
16,ՀԿ_25,Տվյալներ չկան,,,,,,,,
17,ՀԿ_24,Տվյալներ չկան,,,,,,,,
18,ՀԿ_23,Տվյալներ չկան,,,,,,,,
19,ՀԿ_22,Տվյալներ չկան,,,,,,,,
20,ՀԿ_21,Տվյալներ չկան,,,,,,,,
21,ՀԿ_20,Տվյալներ չկան,,,,,,,,
22,ՀԿ_19,Տվյալներ չկան,,,,,,,,
23,ՀԿ_18,Տվյալներ չկան,,,,,,,,
24,ՀԿ_17,,ԴԱՎԻԹ ԿՈՍՏԱՆԴՅԱՆ ՌՈԲԵՐՏԻ,Պաշտպանված,"1,000.00",ՀՀ դրամ,Պաշտպանված,"1,000.00",ՀՀ դրամ,Պաշտպանված
25,ՀԿ_16,Տվյալներ չկան,,,,,,,,
26,ՀԿ_15,Տվյալներ չկան,,,,,,,,
27,ՀԿ_12,Տվյալներ չկան,,,,,,,,
28,ՀԿ_11,Տվյալներ չկան,,,,,,,,
29,ՀԿ_09,Տվյալներ չկան,,,,,,,,
30,ՀԿ_07,Տվյալներ չկան,,,,,,,,
31,ՀԿ_06,Տվյալներ չկան,,,,,,,,
32,ՀԿ_05,,ԱՐԹՈՒՐ ՍԱՐԳՍՅԱՆ ՄՈՒՐԱԴԻ,Պաշտպանված,129.00,ՀՀ դրամ,Պաշտպանված,174.00,ՀՀ դրամ,Պաշտպանված
33,ՀԿ_05,,ԱՐԹՈՒՐ ՍԱՐԳՍՅԱՆ ՄՈՒՐԱԴԻ,Պաշտպանված,300.00,ՀՀ դրամ,Պաշտպանված,300.00,ՀՀ դրամ,Պաշտպանված
34,ՀԿ_04,Տվյալներ չկան,,,,,,,,
35,ՀԿ_03,Տվյալներ չկան,,,,,,,,
36,ՀԿ_02,Տվյալներ չկան,,,,,,,,
37,ՀԴԴ_13,Տվյալներ չկան,,,,,,,,
38,ՀԴԴ_12,Տվյալներ չկան,,,,,,,,
39,ՀԴԴ_11,Տվյալներ չկան,,,,,,,,
40,ՀԴԴ_10,,ԽԱՉԻԿ ՂԱԶԱՐՅԱՆ ԿԱՐԱՊԵՏԻ,Պաշտպանված,"1,500.00",ՀՀ դրամ,Պաշտպանված,"10,000.00",ՀՀ դրամ,Պաշտպանված
41,ՀԴԴ_09,Տվյալներ չկան,,,,,,,,
42,ՀԴԴ_06,Տվյալներ չկան,,,,,,,,
43,ՀԴԴ_05,Տվյալներ չկան,,,,,,,,
44,ՀԴԴ_03,Տվյալներ չկան,,,,,,,,
45,ՀԴԴ_01,Տվյալներ չկան,,,,,,,,
46,ԿԿՀ_08,Տվյալներ չկան,,,,,,,,
47,ԿԿՀ_07,,ՆԱԻՐԻ ՄԻՐԶՈՅԱՆ ՀԱՄԼԵՏԻ,Պաշտպանված,0.00,ՀՀ դրամ,Պաշտպանված,"20,000.00",ՀՀ դրամ,Պաշտպանված
48,ԿԿՀ_04,Տվյալներ չկան,,,,,,,,
49,ԿԿՀ_03,Տվյալներ չկան,,,,,,,,
50,ԿԿՀ_02,Տվյալներ չկան,,,,,,,,
51,ԿԿՀ_01,Տվյալներ չկան,,,,,,,,
52,ԱԾՈՒԳ_08,,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,Պաշտպանված,31.00,ՀՀ դրամ,Պաշտպանված,31.00,ՀՀ դրամ,Պաշտպանված
53,ԱԾՈՒԳ_07,Տվյալներ չկան,,,,,,,,
54,ԱԾՈՒԳ_06,,ՄԻՀՐԱՆ ԲՈՒԼՂԱԴԱՐՅԱՆ ԱՐԹՈՒՐԻ,Պաշտպանված,0.00,ՀՀ դրամ,Պաշտպանված,"1,841.00",ՀՀ դրամ,Պաշտպանված
55,ԱԾՈՒԳ_04,Տվյալներ չկան,,,,,,,,
56,ԱԾՈՒԳ_03,Տվյալներ չկան,,,,,,,,
57,ԱԾՈՒԳ_02,Տվյալներ չկան,,,,,,,,
58,ԱԾՈՒԳ_01,Տվյալներ չկան,,,,,,,,
