,0,id
0,Տվյալներ չկան,ՀԿ_41
1,Պաշտպանված,ՀԿ_40
2,Պաշտպանված,ՀԿ_39
3,Տվյալներ չկան,ՀԿ_38
4,Պաշտպանված,ՀԿ_37
5,Տվյալներ չկան,ՀԿ_36
6,Պաշտպանված,ՀԿ_35
7,Տվյալներ չկան,ՀԿ_34
8,Պաշտպանված,ՀԿ_32
9,Տվյալներ չկան,ՀԿ_31
10,Տվյալներ չկան,ՀԿ_30
11,Պաշտպանված,ՀԿ_29
12,Տվյալներ չկան,ՀԿ_28
13,Տվյալներ չկան,ՀԿ_27
14,Տվյալներ չկան,ՀԿ_26
15,Պաշտպանված,ՀԿ_25
16,Տվյալներ չկան,ՀԿ_24
17,Տվյալներ չկան,ՀԿ_23
18,Պաշտպանված,ՀԿ_22
19,Տվյալներ չկան,ՀԿ_21
20,Տվյալներ չկան,ՀԿ_20
21,Պաշտպանված,ՀԿ_19
22,Տվյալներ չկան,ՀԿ_18
23,Տվյալներ չկան,ՀԿ_17
24,Տվյալներ չկան,ՀԿ_16
25,Պաշտպանված,ՀԿ_15
26,Տվյալներ չկան,ՀԿ_12
27,Տվյալներ չկան,ՀԿ_11
28,Պաշտպանված,ՀԿ_09
29,Տվյալներ չկան,ՀԿ_07
30,Տվյալներ չկան,ՀԿ_06
31,Պաշտպանված,ՀԿ_05
32,Տվյալներ չկան,ՀԿ_04
33,Պաշտպանված,ՀԿ_03
34,Տվյալներ չկան,ՀԿ_02
35,Տվյալներ չկան,ՀԴԴ_13
36,Պաշտպանված,ՀԴԴ_12
37,Տվյալներ չկան,ՀԴԴ_11
38,Տվյալներ չկան,ՀԴԴ_10
39,Տվյալներ չկան,ՀԴԴ_09
40,Տվյալներ չկան,ՀԴԴ_06
41,Տվյալներ չկան,ՀԴԴ_05
42,Պաշտպանված,ՀԴԴ_03
43,Պաշտպանված,ՀԴԴ_01
44,Պաշտպանված,ԿԿՀ_08
45,Տվյալներ չկան,ԿԿՀ_07
46,Տվյալներ չկան,ԿԿՀ_04
47,Տվյալներ չկան,ԿԿՀ_03
48,Տվյալներ չկան,ԿԿՀ_02
49,Տվյալներ չկան,ԿԿՀ_01
50,Տվյալներ չկան,ԱԾՈՒԳ_08
51,Պաշտպանված,ԱԾՈՒԳ_07
52,Տվյալներ չկան,ԱԾՈՒԳ_06
53,Տվյալներ չկան,ԱԾՈՒԳ_04
54,Տվյալներ չկան,ԱԾՈՒԳ_03
55,Տվյալներ չկան,ԱԾՈՒԳ_02
56,Տվյալներ չկան,ԱԾՈՒԳ_01
