,id,0,1,2,3,4,5,6,7
0,ՀԿ_41,,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,Աշխատանքի վարձատրություն և/կամ դրան հավասարեցված այլ վճարումներ,ՀՀ հատուկ քննչական ծառայություն,Պաշտպանված,"7,137,100.00",ՀՀ դրամ,0.00
1,ՀԿ_41,,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,Աշխատանքի վարձատրություն և/կամ դրան հավասարեցված այլ վճարումներ,ՀՀ հակակոռուպցիոն կոմիտե,Պաշտպանված,"2,685,993.00",ՀՀ դրամ,0.00
2,ՀԿ_41,,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,Այլ եկամուտներ,ՀՀ ՊՆ,Պաշտպանված,"194,000.00",ՀՀ դրամ,0.00
3,ՀԿ_41,,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,Ստացված փոխառություններ (վարկեր),Հայէկոնոմբանկ ՓԲԸ,Պաշտպանված,"15,000,000.00",ՀՀ դրամ,0.00
4,ՀԿ_41,,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,Ստացված փոխառություններ (վարկեր),Ֆաստ Կրեդիտ ՈՒՎԿ ՓԲԸ,Պաշտպանված,"134,000.00",ՀՀ դրամ,0.00
5,ՀԿ_41,,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,Ստացված փոխառություններ (վարկեր),Ֆաստ Կրեդիտ ՈՒՎԿ ՓԲԸ,Պաշտպանված,"267,000.00",ՀՀ դրամ,0.00
6,ՀԿ_41,,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,Ստացված փոխառություններ (վարկեր),Ֆաստ Կրեդիտ ՈՒՎԿ ՓԲԸ,Պաշտպանված,"500,000.00",ՀՀ դրամ,0.00
7,ՀԿ_41,,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,Այլ եկամուտներ,Արթուր Սերգեյի Մկրտչյան,Պաշտպանված,"2,000.00",ԱՄՆ դոլար,0.00
8,ՀԿ_41,,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,Այլ եկամուտներ,Արթուր Սերգեյի Մկրտչյան,Պաշտպանված,"20,000.00",Ռուսական ռուբլի,0.00
9,ՀԿ_41,"Ընդամենը
            25,918,093.00            ՀՀ դրամ","25,918,093.00            ՀՀ դրամ",ՀՀ դրամ,,,,,
10,ՀԿ_41,"Ընդամենը
            2,000.00            ԱՄՆ դոլար","2,000.00            ԱՄՆ դոլար",ԱՄՆ դոլար,,,,,
11,ՀԿ_41,"Ընդամենը
            20,000.00            Ռուսական ռուբլի","20,000.00            Ռուսական ռուբլի",Ռուսական ռուբլի,,,,,
12,ՀԿ_40,,ՍԵՐԳԵՅ ԱՌԱՔԵԼՅԱՆ ԳԱԳԻԿԻ,Աշխատանքի վարձատրություն և/կամ դրան հավասարեցված այլ վճարումներ,ՀՀ հատուկ քննչական ծառայություն,Պաշտպանված,"7,491,920.00",ՀՀ դրամ,0.00
