,id,0,1,2,3,4
0,ՀԿ_41,Տվյալներ չկան,,,,
1,ՀԿ_40,Տվյալներ չկան,,,,
2,ՀԿ_39,Տվյալներ չկան,,,,
3,ՀԿ_38,Տվյալներ չկան,,,,
4,ՀԿ_37,Տվյալներ չկան,,,,
5,ՀԿ_36,Տվյալներ չկան,,,,
6,ՀԿ_35,Տվյալներ չկան,,,,
7,ՀԿ_34,Տվյալներ չկան,,,,
8,ՀԿ_32,,«Հայաստանի Հանրապետության ոստիկանության կրթահամալիր» պետական ոչ առևտրային կազմակերպություն,Պաշտպանված,Պաշտպանված,02․08․2018թ-ից մինչև 15․09․2021թ-ը հանդիսացել եմ <<ՀՀ ոստիկանության կրթահամալիր>> ՊՈԱԿ-ի պետը
9,ՀԿ_31,Տվյալներ չկան,,,,
10,ՀԿ_30,Տվյալներ չկան,,,,
11,ՀԿ_29,Տվյալներ չկան,,,,
12,ՀԿ_28,Տվյալներ չկան,,,,
13,ՀԿ_27,Տվյալներ չկան,,,,
14,ՀԿ_26,Տվյալներ չկան,,,,
15,ՀԿ_25,Տվյալներ չկան,,,,
16,ՀԿ_24,Տվյալներ չկան,,,,
17,ՀԿ_21,Տվյալներ չկան,,,,
18,ՀԿ_20,Տվյալներ չկան,,,,
19,ՀԿ_19,Տվյալներ չկան,,,,
20,ՀԿ_18,Տվյալներ չկան,,,,
21,ՀԿ_17,Տվյալներ չկան,,,,
22,ՀԿ_16,Տվյալներ չկան,,,,
23,ՀԿ_15,Տվյալներ չկան,,,,
24,ՀԿ_09,Տվյալներ չկան,,,,
25,ՀԿ_07,Տվյալներ չկան,,,,
26,ՀԿ_06,Տվյալներ չկան,,,,
27,ՀԿ_05,Տվյալներ չկան,,,,
28,ՀԿ_04,Տվյալներ չկան,,,,
29,ՀԿ_03,Տվյալներ չկան,,,,
30,ՀԴԴ_13,Տվյալներ չկան,,,,
31,ՀԴԴ_12,Տվյալներ չկան,,,,
32,ՀԴԴ_11,Տվյալներ չկան,,,,
33,ՀԴԴ_09,Տվյալներ չկան,,,,
34,ՀԴԴ_05,Տվյալներ չկան,,,,
35,ՀԴԴ_03,Տվյալներ չկան,,,,
36,ՀԴԴ_01,,ՀՀ Դատավորների միություն,Պաշտպանված,Պաշտպանված,անդամ
37,ՀԴԴ_01,,Հայ որսորդների ազգային դաշինք ՀԿ,Պաշտպանված,Պաշտպանված,անդամ
38,ԿԿՀ_04,Տվյալներ չկան,,,,
39,ԿԿՀ_03,Տվյալներ չկան,,,,
40,ԿԿՀ_02,,«ՀԱՅԱՍՏԱՆԻ ՀԱՆՐԱՊԵՏՈՒԹՅԱՆ ՊԵՏԱԿԱՆ ԿԱՌԱՎԱՐՄԱՆ ԱԿԱԴԵՄԻԱ » ՊՈԱԿ,Պաշտպանված,Պաշտպանված,Խորհրդի անդամ
41,ԿԿՀ_01,Տվյալներ չկան,,,,
42,ԱԾՈՒԳ_08,Տվյալներ չկան,,,,
43,ԱԾՈՒԳ_07,Տվյալներ չկան,,,,
44,ԱԾՈՒԳ_06,Տվյալներ չկան,,,,
45,ԱԾՈՒԳ_04,Տվյալներ չկան,,,,
46,ԱԾՈՒԳ_03,Տվյալներ չկան,,,,
47,ԱԾՈՒԳ_02,Տվյալներ չկան,,,,
48,ԱԾՈՒԳ_01,Տվյալներ չկան,,,,
