,id,0,1,2,3,4,5,6,7,8
0,ՀԿ_33,,ՍՏԵՓԱՆ ՆԱԶԱՐՅԱՆ ԼԵՎՈՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,VOLKSWAGEN Պաշտպանված,2021,Պաշտպանված,2022,Գնում,-
1,ՀԿ_30,,ԼԻԱՆԱ ՍԱՆԹՐՈՍՅԱՆ ՏԻԳՐԱՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2012,Պաշտպանված,2020,Գնում,-
2,ՀԿ_14,,ԱՐՏԱԿ ՊՈՂՈՍՅԱՆ ՄԿՐՏԻՉԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,LEXUS Պաշտպանված,2020,Պաշտպանված,2021,Գնում,-
3,ՀԿ_13,,ԳԱԳԻԿ ՄԱՐԿՈՍՅԱՆ ԳԱՐՈՒՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2003,Պաշտպանված,2007,Գնում,-
4,ՀԿ_13,,ԳԱԳԻԿ ՄԱՐԿՈՍՅԱՆ ԳԱՐՈՒՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,1994,Պաշտպանված,2021,Ժառանգություն,-
5,ՀԿ_10,,ԱՐՄԵՆ ԱԴԱՄՅԱՆ ՓԱՇՈՅԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,NISSAN Պաշտպանված,2006,Պաշտպանված,2019,Գնում,-
6,ՀԿ_08,,ԱՐԱՄ ՊՈՂՈՍՅԱՆ ՎԼԱԴԻՄԻՐԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,2007,Պաշտպանված,2018,Գնում,-
7,ՀԿ_01,,ԱՐԱՄ ՍԱՐԳՍՅԱՆ ՅՈՒՐԱՅԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,2012,Պաշտպանված,2017,Գնում,-
8,ՀԴԴ_10,Տվյալներ չկան,,,,,,,,
9,ՀԴԴ_08,Տվյալներ չկան,,,,,,,,
10,ՀԴԴ_07,Տվյալներ չկան,,,,,,,,
11,ՀԴԴ_04,Տվյալներ չկան,,,,,,,,
12,ՀԴԴ_03,Տվյալներ չկան,,,,,,,,
13,ՀԴԴ_02,Տվյալներ չկան,,,,,,,,
14,ԿԿՀ_09,,ԱՆՆԱ ՄԱՐՏԻՐՈՍՅԱՆ ՀԱՅԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,SUZUKI Պաշտպանված,2008,Պաշտպանված,2019,Գնում,-
15,ԿԿՀ_06,Տվյալներ չկան,,,,,,,,
16,ԿԿՀ_05,Տվյալներ չկան,,,,,,,,
17,ԱԾՈՒԳ_10,,ՆԱԻՐԱ ԱՐՏԱՇԵՍՅԱՆ ՄԿՐՏԻՉԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,OPEL Պաշտպանված,2004,Պաշտպանված,2021,Գնում,-
18,ԱԾՈՒԳ_09,,ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2009,Պաշտպանված,2019,Գնում,-
19,ԱԾՈՒԳ_09,,ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,OPEL Պաշտպանված,2001,Պաշտպանված,2017,Գնում,-
20,ԱԾՈՒԳ_05,Տվյալներ չկան,,,,,,,,
