,id,0,1,2,3,4,5,6,7,8
0,ՀԿ_33,,ՍՏԵՓԱՆ ՆԱԶԱՐՅԱՆ ԼԵՎՈՆԻ,Ֆիլիշին ՍՊԸ,Պաշտպանված,Պաշտպանված,"26,273,381.00",ՀՀ դրամ,0.00,Պաշտպանված
1,ՀԿ_33,,ՍՏԵՓԱՆ ՆԱԶԱՐՅԱՆ ԼԵՎՈՆԻ,Ֆիլիշին ՍՊԸ,Պաշտպանված,Պաշտպանված,"1,366,373.00",ՀՀ դրամ,0.00,Պաշտպանված
2,ՀԿ_33,,ՍՏԵՓԱՆ ՆԱԶԱՐՅԱՆ ԼԵՎՈՆԻ,Ֆիլիշին ՍՊԸ,Պաշտպանված,Պաշտպանված,"1,366,373.00",ՀՀ դրամ,0.00,Պաշտպանված
3,ՀԿ_30,Տվյալներ չկան,,,,,,,,
4,ՀԿ_14,Տվյալներ չկան,,,,,,,,
5,ՀԿ_13,Տվյալներ չկան,,,,,,,,
6,ՀԿ_10,Տվյալներ չկան,,,,,,,,
7,ՀԿ_08,Տվյալներ չկան,,,,,,,,
8,ՀԿ_01,Տվյալներ չկան,,,,,,,,
9,ՀԴԴ_10,Տվյալներ չկան,,,,,,,,
10,ՀԴԴ_08,Տվյալներ չկան,,,,,,,,
11,ՀԴԴ_07,Տվյալներ չկան,,,,,,,,
12,ՀԴԴ_04,Տվյալներ չկան,,,,,,,,
13,ՀԴԴ_03,Տվյալներ չկան,,,,,,,,
14,ՀԴԴ_02,Տվյալներ չկան,,,,,,,,
15,ԿԿՀ_09,Տվյալներ չկան,,,,,,,,
16,ԿԿՀ_06,Տվյալներ չկան,,,,,,,,
17,ԿԿՀ_05,Տվյալներ չկան,,,,,,,,
18,ԱԾՈՒԳ_10,Տվյալներ չկան,,,,,,,,
19,ԱԾՈՒԳ_09,Տվյալներ չկան,,,,,,,,
20,ԱԾՈՒԳ_05,Տվյալներ չկան,,,,,,,,
