,0,id,1,2,3,4,5,6,7
0,Պաշտպանված,ՀԿ_33,,,,,,,
1,Պաշտպանված,ՀԿ_33,,,,,,,
2,Տվյալներ չկան,ՀԿ_30,,,,,,,
3,Պաշտպանված,ՀԿ_14,,,,,,,
4,Պաշտպանված,ՀԿ_14,,,,,,,
5,Պաշտպանված,ՀԿ_13,,,,,,,
6,Պաշտպանված,ՀԿ_13,,,,,,,
7,Տվյալներ չկան,ՀԿ_10,,,,,,,
8,Տվյալներ չկան,ՀԿ_08,,,,,,,
9,Պաշտպանված,ՀԿ_01,,,,,,,
10,Պաշտպանված,ՀԿ_01,,,,,,,
11,Տվյալներ չկան,ՀԴԴ_10,,,,,,,
12,Տվյալներ չկան,ՀԴԴ_08,,,,,,,
13,Տվյալներ չկան,ՀԴԴ_07,,,,,,,
14,Տվյալներ չկան,ՀԴԴ_04,,,,,,,
15,Տվյալներ չկան,ՀԴԴ_03,,,,,,,
16,,ՀԴԴ_02,ՀԱՅԱՐՓԻ ԴՐՄԵՅԱՆ ՄԱՄԻԿՈՆԻ,Լիգոկոնսալթինգ ՍՊԸ,Պաշտպանված,Պաշտպանված,100.00,1.00,2010-04-13
17,Պաշտպանված,ԿԿՀ_09,,,,,,,
18,Պաշտպանված,ԿԿՀ_09,,,,,,,
19,Պաշտպանված,ԿԿՀ_06,,,,,,,
20,Պաշտպանված,ԿԿՀ_06,,,,,,,
21,Պաշտպանված,ԿԿՀ_05,,,,,,,
22,Պաշտպանված,ԿԿՀ_05,,,,,,,
23,Տվյալներ չկան,ԱԾՈՒԳ_10,,,,,,,
24,Տվյալներ չկան,ԱԾՈՒԳ_09,,,,,,,
25,Պաշտպանված,ԱԾՈՒԳ_05,,,,,,,
26,Պաշտպանված,ԱԾՈՒԳ_05,,,,,,,
