,name,position,date,link
ԿԿՀ_01,ՀԱՅԿՈՒՀԻ ՀԱՅԿԻ ՀԱՐՈՒԹՅՈՒՆՅԱՆ,Կոռուպցիայի կանխարգելման հանձնաժողովի նախագահ,2019-11-26 / -,http://cpcarmenia.am//hy/declarations-registry/user_id=19912/
ԿԿՀ_02,ԼԻԼԻԹ ԿԱՐԵՆԻ ԱԼԵՔՍԱՆՅԱՆ,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,2019-11-19 / -,http://cpcarmenia.am//hy/declarations-registry/user_id=19913/
ԿԿՀ_03,ՆԱՐԵԿ ԳԱԳԻԿԻ ՀԱՄԲԱՐՁՈՒՄՅԱՆ,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,2019-11-19 / -,http://cpcarmenia.am//hy/declarations-registry/user_id=5424/
ԿԿՀ_04,ՄԱՐԻԱՄ ԿԱՐԵՆԻ ԳԱԼՍՏՅԱՆ,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,2021-09-14 / -,http://cpcarmenia.am//hy/declarations-registry/user_id=34790/
ԿԿՀ_05,ՆԱՐԻՆԵ ՆՎԵՐԻ ՄԿՐՏՉՅԱՆ,Կոռուպցիայի կանխարգելման հանձնաժողովի գլխավոր քարտուղար,2022-09-29 / -,http://cpcarmenia.am//hy/declarations-registry/user_id=42584/
ԿԿՀ_06,ԱՐԵՎԻԿ ՇԻՐԱԿԻ ԹՈՐՈՍՅԱՆ,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամի օգնական,2022-08-12 / -,http://cpcarmenia.am//hy/declarations-registry/user_id=42571/
ԿԿՀ_07,ՆԱԻՐԻ ՀԱՄԼԵՏԻ ՄԻՐԶՈՅԱՆ,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամի օգնական,2020-12-01 / -,http://cpcarmenia.am//hy/declarations-registry/user_id=27848/
ԿԿՀ_08,ԾՈՎԻՆԱՐ ՀԵՆՐԻԿԻ ՄԱՐԳԱՐՅԱՆ,Կոռուպցիայի կանխարգելման հանձնաժողովի նախագահի օգնական,2021-04-12 / -,http://cpcarmenia.am//hy/declarations-registry/user_id=31224/
ԿԿՀ_09,ԱՆՆԱ ՀԱՅԿԻ ՄԱՐՏԻՐՈՍՅԱՆ,Կոռուպցիայի կանխարգելման հանձնաժողովի նախագահի օգնական,2022-11-30 / -,http://cpcarmenia.am//hy/declarations-registry/user_id=43916/
ՀԿ_01,ԱՐԱՄ ՅՈՒՐԱՅԻ ՍԱՐԳՍՅԱՆ,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՆԱԽԱԳԱՀԻ ԽՈՐՀՐԴԱԿԱՆ,2022-03-10 / -,http://cpcarmenia.am//hy/declarations-registry/user_id=38063/
ՀԿ_02,ԱՆԻ ՎԱՐԴԱՆԻ ՄԽԻԿՅԱՆ,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՆԱԽԱԳԱՀԻ ՕԳՆԱԿԱՆ,2021-10-25 / -,http://cpcarmenia.am//hy/declarations-registry/user_id=20429/
ՀԿ_03,ԱՇՈՏ ԱՐՄԵՆԻ ՕՀԱՆՅԱՆ,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՔՆՆՉԱԿԱՆ ԵՐԿՐՈՐԴ ՎԱՐՉՈՒԹՅԱՆ ՊԵՏ,2022-10-10 / -,http://cpcarmenia.am//hy/declarations-registry/user_id=3492/
ՀԿ_04,ԱՐՇԱԼՈՒՅՍ ԿԱՌԼԵՆԻ ՄԻՆԱՍՅԱՆ,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՔՆՆՉԱԿԱՆ ԵՐՐՈՐԴ ՎԱՐՉՈՒԹՅԱՆ ՊԵՏ,2022-10-10 / -,http://cpcarmenia.am//hy/declarations-registry/user_id=3491/
