,id,Unnamed: 1,link,position,decl_title,decl_link
301,ԱԾՈՒԳ_01,3,http://cpcarmenia.am//hy/declarations-registry/user_id=19258/,ՀՀ գլխավոր դատախազի՝ ապօրինի ծագում ունեցող գույքի բռնագանձմանն ուղղված գործառույթների ոլորտը համակարգող տեղակալ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=97327/
305,ԱԾՈՒԳ_02,3,http://cpcarmenia.am//hy/declarations-registry/user_id=19060/,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության պետ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=88230/
311,ԱԾՈՒԳ_03,5,http://cpcarmenia.am//hy/declarations-registry/user_id=4573/,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության պետի տեղակալ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=100378/
315,ԱԾՈՒԳ_04,3,http://cpcarmenia.am//hy/declarations-registry/user_id=19953/,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=93522/
316,ԱԾՈՒԳ_05,0,http://cpcarmenia.am//hy/declarations-registry/user_id=36727/,ՀՀ գլխավոր դատախազի՝ ապօրինի ծագում ունեցող գույքի բռնագանձմանն ուղղված գործառույթների ոլորտը համակարգող տեղակալի օգանական,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=81374/
319,ԱԾՈՒԳ_06,2,http://cpcarmenia.am//hy/declarations-registry/user_id=27822/,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=81698/
322,ԱԾՈՒԳ_07,2,http://cpcarmenia.am//hy/declarations-registry/user_id=27823/,ՀՀ  գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=91216/
325,ԱԾՈՒԳ_08,2,http://cpcarmenia.am//hy/declarations-registry/user_id=27824/,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=85386/
326,ԱԾՈՒԳ_09,0,http://cpcarmenia.am//hy/declarations-registry/user_id=41193/,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=100355/
327,ԱԾՈՒԳ_10,0,http://cpcarmenia.am//hy/declarations-registry/user_id=42136/,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=101110/
3,ԿԿՀ_01,3,http://cpcarmenia.am//hy/declarations-registry/user_id=19912/,Կոռուպցիայի կանխարգելման հանձնաժողովի նախագահ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=94798/
7,ԿԿՀ_02,3,http://cpcarmenia.am//hy/declarations-registry/user_id=19913/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=89467/
14,ԿԿՀ_03,6,http://cpcarmenia.am//hy/declarations-registry/user_id=5424/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=97458/
16,ԿԿՀ_04,1,http://cpcarmenia.am//hy/declarations-registry/user_id=34790/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=81095/
17,ԿԿՀ_05,0,http://cpcarmenia.am//hy/declarations-registry/user_id=42584/,Կոռուպցիայի կանխարգելման հանձնաժողովի գլխավոր քարտուղար,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=101595/
18,ԿԿՀ_06,0,http://cpcarmenia.am//hy/declarations-registry/user_id=42571/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամի օգնական,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=101539/
21,ԿԿՀ_07,2,http://cpcarmenia.am//hy/declarations-registry/user_id=27848/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամի օգնական,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=91088/
23,ԿԿՀ_08,1,http://cpcarmenia.am//hy/declarations-registry/user_id=31224/,Կոռուպցիայի կանխարգելման հանձնաժողովի նախագահի օգնական,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=82362/
24,ԿԿՀ_09,0,http://cpcarmenia.am//hy/declarations-registry/user_id=43916/,Կոռուպցիայի կանխարգելման հանձնաժողովի նախագահի օգնական,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=103137/
249,ՀԴԴ_01,2,http://cpcarmenia.am//hy/declarations-registry/user_id=27148/,Սյունիքի մարզի առաջին ատյանի ընդհանուր իրավասության դատարանի դատավոր,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=93457/
252,ՀԴԴ_02,2,http://cpcarmenia.am//hy/declarations-registry/user_id=25507/,Դատավորի օգնական,Պաշտոնատար անձի պաշտոնեական պարտականությունները դադարեցնելու հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=82505/
253,ՀԴԴ_02,3,http://cpcarmenia.am//hy/declarations-registry/user_id=25507/,ՀՀ Հակակոռուպցիոն դատարանի հակակոռուպցիոն քաղաքացիական գործերով մասնագիտացմամբ դատավոր,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=102790/
260,ՀԴԴ_03,6,http://cpcarmenia.am//hy/declarations-registry/user_id=5991/,ՀՀ ԱԱԾ քննչական դեպարտամենտի ավագ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=87525/
261,ՀԴԴ_03,7,http://cpcarmenia.am//hy/declarations-registry/user_id=5991/,ՀՀ Հակակոռուպցիոն դատարանի կոռուպցիոն հանցագործությունների վերաբերյալ վարույթներով մասնագիտացմամբ դատավոր,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=101211/
262,ՀԴԴ_04,0,http://cpcarmenia.am//hy/declarations-registry/user_id=41983/,ՀՀ Հակակոռուպցիոն դատարանի կոռուպցիոն հանցագործությունների վերաբերյալ վարույթներով մասնագիտացմամբ դատավոր,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=100649/
268,ՀԴԴ_05,5,http://cpcarmenia.am//hy/declarations-registry/user_id=4580/,ՀՀ գլխավոր դատախազության մարդու դեմ ուղղված հանցագործությունների գործերով վարչության պետի տեղակալ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=90274/
272,ՀԴԴ_06,3,http://cpcarmenia.am//hy/declarations-registry/user_id=20427/,չեմ աշխատում,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=89665/
