,,link,position,decl_title,decl_link
ԿԿՀ_01,0,http://cpcarmenia.am//hy/declarations-registry/user_id=19912/,Կոռուպցիայի կանխարգելման հանձնաժողովի նախագահ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2019),http://cpcarmenia.am/hy/declarations-registry/id=58910/
ԿԿՀ_01,1,http://cpcarmenia.am//hy/declarations-registry/user_id=19912/,Կոռուպցիայի կանխարգելման հանձնաժողովի նախագահ,Պաշտոնատար անձի պաշտոնը ստանձնելու հայտարարագիր  (2019),http://cpcarmenia.am/hy/declarations-registry/id=58963/
ԿԿՀ_01,2,http://cpcarmenia.am//hy/declarations-registry/user_id=19912/,Կոռուպցիայի կանխարգելման հանձնաժողովի նախագահ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2020),http://cpcarmenia.am/hy/declarations-registry/id=75771/
ԿԿՀ_01,3,http://cpcarmenia.am//hy/declarations-registry/user_id=19912/,Կոռուպցիայի կանխարգելման հանձնաժողովի նախագահ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=94798/
ԿԿՀ_02,0,http://cpcarmenia.am//hy/declarations-registry/user_id=19913/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի պաշտոնը ստանձնելու հայտարարագիր  (2019),http://cpcarmenia.am/hy/declarations-registry/id=47248/
ԿԿՀ_02,1,http://cpcarmenia.am//hy/declarations-registry/user_id=19913/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2019),http://cpcarmenia.am/hy/declarations-registry/id=47637/
ԿԿՀ_02,2,http://cpcarmenia.am//hy/declarations-registry/user_id=19913/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2020),http://cpcarmenia.am/hy/declarations-registry/id=72035/
ԿԿՀ_02,3,http://cpcarmenia.am//hy/declarations-registry/user_id=19913/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=89467/
ԿԿՀ_03,0,http://cpcarmenia.am//hy/declarations-registry/user_id=5424/,ՀՀ քննչական կոմիտեի  հատկապես կարևոր գործերի քննության գլխավոր վարչության ՀԿԳ քննիչ,Պաշտոնատար անձի պաշտոնը ստանձնելու հայտարարագիր  (2017),http://cpcarmenia.am/hy/declarations-registry/id=16979/
ԿԿՀ_03,1,http://cpcarmenia.am//hy/declarations-registry/user_id=5424/,ՀՀ քննչական կոմիտեի  հատկապես կարևոր գործերի քննության գլխավոր վարչության ՀԿԳ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր (2017),http://cpcarmenia.am/hy/declarations-registry/id=25111/
ԿԿՀ_03,2,http://cpcarmenia.am//hy/declarations-registry/user_id=5424/,ՀՀ քննչական կոմիտեի  հատկապես կարևոր գործերի քննության գլխավոր վարչության ՀԿԳ քննիչ,Պաշտոնատար անձի պաշտոնը դադարեցնելու հայտարարագիր  (2018),http://cpcarmenia.am/hy/declarations-registry/id=32630/
ԿԿՀ_03,3,http://cpcarmenia.am//hy/declarations-registry/user_id=5424/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի պաշտոնը ստանձնելու հայտարարագիր  (2019),http://cpcarmenia.am/hy/declarations-registry/id=47282/
ԿԿՀ_03,4,http://cpcarmenia.am//hy/declarations-registry/user_id=5424/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2019),http://cpcarmenia.am/hy/declarations-registry/id=58489/
ԿԿՀ_03,5,http://cpcarmenia.am//hy/declarations-registry/user_id=5424/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2020),http://cpcarmenia.am/hy/declarations-registry/id=72891/
ԿԿՀ_03,6,http://cpcarmenia.am//hy/declarations-registry/user_id=5424/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=97458/
ԿԿՀ_04,0,http://cpcarmenia.am//hy/declarations-registry/user_id=34790/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=79015/
ԿԿՀ_04,1,http://cpcarmenia.am//hy/declarations-registry/user_id=34790/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=81095/
ԿԿՀ_05,0,http://cpcarmenia.am//hy/declarations-registry/user_id=42584/,Կոռուպցիայի կանխարգելման հանձնաժողովի գլխավոր քարտուղար,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=101595/
